Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Aral Autohof Uhrsleben,252,Aral Autohof Uhrsleben,Aral Autohof Uhrsleben,3895.0,RMSPED SP. z o.o. ,WPR7408U,B2B,,252.0,ARAL Autohof Uhrsleben – Sicherheitsparkplatz,Pflaumenallee 1,Uhrsleben,39343,DE,Bosch,pflaumenallee 1 uhrsleben,ARAL Autohof Uhrsleben – Sicherheitsparkplatz,Pflaumenallee 1,Uhrsleben,DE,11.2631681,52.1941889,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5013&locale=en,24h: 26.50€    ,24h: 26.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2049,"1101, 1017, 1019, 1012, 1005, 1014, 1003"
ARAL Autohof Uhrsleben – Standardparkplatz,1102,ARAL Autohof Uhrsleben – Standardparkplatz,ARAL Autohof Uhrsleben – Standardparkplatz,,,PNT50460,B2B,,1102.0,ARAL Autohof Uhrsleben – Standardparkplatz,Pflaumenallee 1,Uhrsleben,39343,DE,Bosch,pflaumenallee 1 uhrsleben,ARAL Autohof Uhrsleben – Sicherheitsparkplatz,Pflaumenallee 1,Uhrsleben,DE,11.2631681,52.1941889,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5013&locale=en,24h: 26.50€    ,24h: 26.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2049,"1101, 1017, 1019, 1012, 1005, 1014, 1003"
Autohof Evendorf,2758,Autohof Evendorf,Autohof Evendorf,,,PY11658,B2B,,2758.0,BREAK Autohof Hamburg-Nordheide,Thaneberg 1,Egestorf,21272,DE,Bosch,thaneberg 1 egestorf,BREAK Autohof Hamburg-Nordheide,Thaneberg 1,Egestorf,DE,10.06101216,53.16223095,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5324&locale=en,"2 hours: 3,57 €    14 hours: 17,85 €    36 hours: 29,75 €    72 hours: 41,65 €     additional 24 hours: 17,85 €","2 hours: 3,00 €    14 hours: 15,00 €    36 hours: 25,00 €    72 hours: 35,00 €     additional 24 hours: 15,00 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2757,"1004, 1007, 1011, 1025, 1700036, 1017, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1251, 1301, 1700032, 1003"
Autohof Kolb Security Parking,3316,Autohof Kolb Security Parking,Autohof Kolb Security Parking,8553.0,Imperial Trans Sp.z.o.o.,RZ2449Y,B2B,,3316.0,Autohof Kolb Security Parking,Neulandstraße 38,Sinsheim,74889,DE,Bosch,neulandstraße 38 sinsheim,Autohof Kolb Security Parking,Neulandstraße 38,Sinsheim,DE,8.89375143,49.24193689,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5389&locale=en,"24 hours: 50,05 €    ","24 hours: 42,06 €    ",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3315,"1004, 1007, 1011, 1025, 1700034, 1017, 1012, 1302, 1020, 1013, 1005, 1002, 1014, 1301, 1700030, 1003"
Autohof Schnelldorf,7805,Autohof Schnelldorf,Autohof Schnelldorf,3893.0,TAS Logistyka sp. z o.o. ,WZY16590,B2B,,7805.0,Autohof Schnelldorf,Rudolf-Diesel-Straße 1,Schnelldorf,91625,DE,Bosch,rudolf-diesel-straße 1 schnelldorf,Autohof Schnelldorf,Rudolf-Diesel-Straße 1,Schnelldorf,DE,10.2414,49.1711,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5686&locale=en,"24 hours: 23,80 €",24 hours: 20 €,no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=7803,"1004, 1007, 1011, 1101, 1017, 1302, 1020, 1006, 1010, 1005, 1002, 1014, 1251, 1301, 1700032, 1700033, 1003"
BI-LOG Warenhotel Parking,5402,BI-LOG Warenhotel Parking,BI-LOG Warenhotel Parking,853.0,NV Schenker,WGM3800H,B2B,,5402.0,BI-LOG Warenhotel Parking,Am Steinernen Kreuz 9,Scheßlitz,96110,DE,Bosch,am steinernen kreuz 9 scheßlitz,BI-LOG Warenhotel Parking,Am Steinernen Kreuz 9,Scheßlitz,DE,11.0510899,49.980259,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5662&locale=en,24h: 20.00€    ,24h: 20.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=6151,"1101, 1017, 1012, 1014"
Blomenröhr Parking,861,Blomenröhr Parking,Blomenröhr Parking,,,AG81CTX,B2B,,861.0,Blomenröhr Parking,Am Lülingsbusch 6,Geseke,59590,DE,Bosch,am lülingsbusch 6 geseke,Blomenröhr Parking,Am Lülingsbusch 6,Geseke,DE,8.50982012,51.62805494,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4810&locale=en,"12 hours: 28,56 €    24 hours: 38,08 €    48 hours: 57,12 €","12 hours: 24,00 €    24 hours: 32,00 €    48 hours: 48,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=860,"1004, 1011, 1025, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1051, 1151, 1016, 1251, 1301"
Flex Trans Parking,3560,Flex Trans Parking,Flex Trans Parking,,,NFY542,B2B,,3560.0,Flex Trans Parking,Werner-Boie-Str. 17,Rötha,4571,DE,Bosch,werner-boie-str. 17 rötha,Flex Trans Parking,Werner-Boie-Str. 17,Rötha,DE,12.49390523,51.18075925,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5529&locale=en,"12 hours: 21,42 €","12 hours: 18,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3559,"1015, 1004, 1007, 1011, 1025, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1016, 1301"
Gebrüder Weiss Nürnberg,556,Gebrüder Weiss Nürnberg,Gebrüder Weiss Nürnberg,,,WGM9064J,B2B,,556.0,Gebrüder Weiss - Nürnberg,Donaustraße 132,Nürnberg,90451,DE,Bosch,donaustraße 132 nürnberg,Gebrüder Weiss - Nürnberg,Donaustraße 132,Nürnberg,DE,11.050572,49.40988,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4678&locale=en,12 hours: 29.41 €    24 hours: 45.38 €    \r\n48 hours: 58.82 €    per addtional hour: 5.04 €,12 hours: 29.41 €    24 hours: 45.38 €    \r\n48 hours: 58.82 €    per addtional hour: 5.04 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=555,"1004, 1011, 1025, 1017, 1012, 1302, 1020, 1013, 1014, 1251, 1301"
Heinrich Hartmann GmbH,1754,RHT Spedition Hartmann,Heinrich Hartmann GmbH,,,WGM7314H,B2B,,1754.0,Hartmann Koblenz,Zur Bergpflege 49,Koblenz,56070,DE,Bosch,zur bergpflege 49 koblenz,Hartmann Koblenz,Zur Bergpflege 49,Koblenz,DE,7.57477418,50.39686447,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4993&locale=en,12h: 20.70€    24h: 32.20€    48h: 57.50€    ,12h: 20.70€    24h: 32.20€    48h: 57.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2003,"1007, 1101, 1017, 1012, 1005, 1014"
Klingler Verwaltung GmbH,3756,Sicherheitsparkplatz Herbrechtingen,Sicherheitsparkplatz Herbrechtingen,,,PZ6H920,B2B,,3756.0,Sicherheitsparkplatz Herbrechtingen,	Am Bühlfeld 27,Herbrechtingen,89542,DE,Bosch,am bühlfeld 27 herbrechtingen,Sicherheitsparkplatz Herbrechtingen,Am Bühlfeld 27,Herbrechtingen,DE,10.2052803,48.6183635,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5643&locale=en,12h: 12.00€    24h: 24.00€    48h: 48.00€    ,12h: 12.00€    24h: 24.00€    48h: 48.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5201,"1007, 1101, 1017, 1019, 1012, 1005, 1014"
Metro Logistics Altlandsberg,1007,Metro Logistics GmbH,Metro Logistics GmbH,,,WGM8653J,B2B,,1007.0,Metro Logistics Altlandsberg,Seeberger Straße 10,Altlansberg,15345,DE,Bosch,seeberger straße 10 altlansberg,Metro Logistics Altlandsberg,Seeberger Straße 10,Altlansberg,DE,13.69444052,52.55034418,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4856&locale=en,"12 hours: 17,45 €    24 hours: 28,73 €    \r\n48 hours: 50,27     per addtional hour: 6,15 €","12 hours: 14,66 €    24 hours: 24,14 €    \r\n48 hours: 42,24     per addtional hour: 5,17 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1006,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1014, 1016, 1251, 1301"
Motorpark Lohne Security Parking,3184,Motorpark Lohne Security Parking,Motorpark Lohne Security Parking,,,242D2994,B2B,,3184.0,Motorpark Lohne Security Parking,Von Siemens Str. 1,Lohne,49393,DE,Bosch,von siemens str. 1 lohne,Motorpark Lohne ,Von Siemens Str. 1,Lohne,DE,8.16700929,52.65886102,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5431&locale=en,12h: 8.40€    24h: 16.81€    48h: 25.21€    ,12h: 8.40€    24h: 16.81€    48h: 25.21€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3317,"1101, 1017, 1012, 1005, 1014, 1003"
Nordfrost Mücke,2914,Nordfrost Mücke,Nordfrost Mücke,,,SCZ1247C,B2B,,2914.0,Nordfrost Mücke,Nordfroststraße 1,Mücke,35325,DE,Bosch,nordfroststraße 1 mücke,Nordfrost Mücke,Nordfroststraße 1,Mücke,DE,8.99431096,50.64535121,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5361&locale=en,"12 hours: 21,42 €    24 hours: 40,65 €","12 hours: 18,00 €    24 hours: 34,16 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2913,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1016, 1251"
Passac Meco Madrid Security Area,1308,CEPSA Truck Village – Security by PASSAC,CEPSA Truck Village – Security by PASSAC,,,SV66KGN,B2B,,1308.0,CEPSA Truck Village – Security by PASSAC,"Calle la Venta, Autovía A2, 25, salida 38",Meco,28880,ES,Bosch,"calle la venta, autovía a2, 25, salida 38 meco",MOEVE Truck Village – MECO/PASSAC,"Calle la Venta, Autovía A2, 25, salida 38",Meco,ES,-3.29268646,40.53073813,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4893&locale=en,12 hours: 13€    24 hours: 25€    \r\n48 hours: 48€,12 hours: 13€    24 hours: 25€    \r\n48 hours: 48€,no,yes,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1307,"1004, 1011, 1025, 1017, 1019, 1012, 1009, 1302, 1020, 1013, 1005, 1002, 1014, 1051, 1016, 1251, 1301, 1003"
Premium Parking Frechen,802,Premium Parking Frechen,Premium Parking Frechen,,,SB34SCN,B2B,,802.0,Premium Parking Frechen, Koelner Str. 209-211,Frechen,50226,DE,Bosch,koelner str. 209-211 frechen,Premium Parking Frechen, Koelner Str. 209-211,Frechen,DE,6.83340542,50.91444566,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4801&locale=en,"1 hour: 4,76 €    24 hours: 38,08 €",1 hour: 4 €    24 hours: 32 €,no,yes,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=801,"1004, 1007, 1011, 1025, 1022, 1017, 1019, 1012, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1051, 1151, 1016, 1251, 1301, 1003"
RBNB TRUCKS,1310,RBNB TRUCKS,RBNB TRUCKS,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA28553,B2B,,1310.0,RBNB TRUCKS,90 Rue Elie Cartan,Carvin,62220,FR,Bosch,90 rue elie cartan carvin,RBNB TRUCKS,90 Rue Elie Cartan,Carvin,FR,2.95424757,50.47332137,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4894&locale=en,"9 hours: 28,80 €    12 hours: 31,20 €    24 hours: 33,60 €    48 hours: 62,40 €    72 hours: 88,80 €","9 hours: 24,00 €    12 hours: 26,00 €    24 hours: 28,00 €    48 hours: 52,00 €    72 hours: 74,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1309,"1004, 1007, 1011, 1017, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1051, 1152, 1251, 1301"
REWE Logistikzentrum Neu-Isenburg,452,REWE Logistikzentrum Neu-Isenburg,REWE Logistikzentrum Neu-Isenburg,3115.0,Zeitfracht Logistik GmbH,BZF218,B2B,,452.0,REWE Logistikzentrum Neu-Isenburg,An der Gehespitz 30,Neu-Isenburg,63263,DE,Bosch,an der gehespitz 30 neu-isenburg,REWE Logistikzentrum Neu-Isenburg,An der Gehespitz 30,Neu-Isenburg,DE,8.657111,50.05169,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4606&locale=en,"12 hours: 17,85 €    24 hours: 29,75 €<    48 hours:  47,60 €",12 hours: 15 €    24 hours: 25 €<    48 hours:  40 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=451,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014, 1251, 1003"
Shell Autohof Braunschweig,1005,Shell Autohof Braunschweig,Shell Autohof Braunschweig,,,SC4592V,B2B,,1005.0,Shell Autohof Braunschweig,Hansestr. 34,Braunschweig,38112,DE,Bosch,hansestr. 34 braunschweig,Shell Autohof Braunschweig,Hansestr. 34,Braunschweig,DE,10.4952867,52.3135308,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5277&locale=en,24h: 23.76€    ,24h: 23.76€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2163,"1101, 1017, 1005, 1014, 1003"
"SOCOLO TRUCKS, S.L.",1709,"SOCOLO TRUCKS, S.L.","SOCOLO TRUCKS, S.L.",,,NIA743,B2B,,1709.0,"SOCOLO TRUCKS, S.L.","Paseo Fluvial, 26",Parets del Vallès,08150,ES,Bosch,"paseo fluvial, 26 parets del vallès","SOCOLO TRUCKS, S.L.","Paseo Fluvial, 26",Parets del Vallès,ES,2.2351808,41.5614809,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4923&locale=en,"12 hours: 25,30€    24 hours:37,40 €    \r\n48 hours: 67,10 €    per additional hour: 5,10 €","12 hours: 25,30€    24 hours:37,40 €    \r\n48 hours: 67,10 €    per additional hour: 5,10 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1708,"1004, 1011, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1016, 1152, 1251, 1301, 1003"
Stutz Logistik GmbH,4904,Stutz Logistik GmbH,Stutz Logistik GmbH,657.0,Cross Logistics Ltd,2223,B2B,,4904.0,Stutz Logistik GmbH,In der Bruchwies 4,Merzig,66663,DE,Bosch,in der bruchwies 4 merzig,Stutz Logistik GmbH,In der Bruchwies 4,Merzig,DE,6.61140571,49.46786876,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5648&locale=en,24h: 15.00€    ,24h: 15.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5203,"1007, 1101, 1017, 1012, 1005, 1014"
SVG-Autohof Lohfeldener Rüssel,6254,SVG-Autohof Lohfeldener Rüssel,SVG-Autohof Lohfeldener Rüssel,,,DW9SS54,B2B,,6254.0,SVG-Autohof Lohfeldener Rüssel,Alexander von Humboldt Str.1,Lohfelden,34253,DE,Bosch,alexander von humboldt str.1 lohfelden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank & Rast Sicherheitsparkplatz Bad Hersfeld,1110,Tank & Rast Sicherheitsparkplatz Bad Hersfeld,Tank & Rast Sicherheitsparkplatz Bad Hersfeld,,,FSD71535,B2B,,1110.0,Tank & Rast Sicherheitsparkplatz Bad Hersfeld,Rudolf-Diesel-Straße 1,Bad Hersfeld,36251,DE,Bosch,rudolf-diesel-straße 1 bad hersfeld,ROSI's Sicherheitsparkplatz Bad Hersfeld,Rudolf-Diesel-Straße 1,Bad Hersfeld,DE,9.72740967,50.85291052,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4868&locale=en,"24 hours: 45,00 €","24 hours: 37,82 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1109,"1004, 1007, 1011, 1022, 1017, 1012, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1051, 1151, 1016, 1251, 1301, 1003"
Tank & Rast Sicherheitsparkplatz Pilsting,606,Tank & Rast Sicherheitsparkplatz Pilsting,Tank & Rast Sicherheitsparkplatz Pilsting,,,DMI34154,B2B,,606.0,Tank & Rast Sicherheitsparkplatz Pilsting,Hietzingerwiesen 4,Pilsting,94431,DE,Bosch,hietzingerwiesen 4 pilsting,ROSI's Sicherheitsparkplatz Pilsting,Hietzingerwiesen 4,Pilsting,DE,12.67345788,48.69273143,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4859&locale=en,"24 hours: 45,00 €","24 hours: 37,82 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=605,"1004, 1007, 1011, 1022, 1017, 1019, 1012, 1008, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1051, 1016, 1251, 1301, 1003"
Tank & Rast Sicherheitsparkplatz Wörnitz,1152,Tank & Rast Sicherheitsparkplatz Wörnitz,Tank & Rast Sicherheitsparkplatz Wörnitz,1363.0,Sindelar Spedition sro,9C02610,B2B,,1152.0,Tank & Rast Sicherheitsparkplatz Wörnitz,Bastenauer Str. 10,Wörnitz,91637,DE,Bosch,bastenauer str. 10 wörnitz,ROSI's Sicherheitsparkplatz Wörnitz,Bastenauer Str. 10,Wörnitz,DE,10.2361,49.25901,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4870&locale=en,"24 hours: 45,00 €","24 hours: 37,82 €",no,yes,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1151,"1004, 1007, 1011, 1025, 1017, 1019, 1012, 1008, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1051, 1151, 1016, 1301, 1003"
Tank & Rast Sicherheitsparkplatz Zeven,952,Tank & Rast Sicherheitsparkplatz Zeven,Tank & Rast Sicherheitsparkplatz Zeven,,,WGM7614C,B2B,,952.0,Tank & Rast Sicherheitsparkplatz Zeven,Auf der Brooke 2,Elsdorf,27404,DE,Bosch,auf der brooke 2 elsdorf,Tank & Rast Sicherheitsparkplatz Zeven,Auf der Brooke 2,Elsdorf,DE,9.34238921,53.23079803,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4860&locale=en,"24 hours: 45,00 €    1 Month: 892,50 €","24 hours: 37,82 €    1 Month: 750 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=951,"1004, 1007, 1011, 1022, 1017, 1019, 1012, 1302, 1020, 1006, 1013, 1005, 1002, 1014, 1051, 1016, 1251, 1301, 1003"
